0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
17,4,10,0,4,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,93.0,279.0,434.0,434.0,279.0,0,2,1,0,2,0,0,0
20,9,9,0,4,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,154.0,328.0,546.0,546.0,328.0,0,2,1,0,1,0,0,0
22,11,9,0,4,4,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,195.0,356.0,610.0,610.0,356.0,0,2,1,0,1,0,0,0
22,8,9,0,4,4,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,0,0,181.0,306.0,591.0,591.0,306.0,0,2,1,0,1,0,0,0
17,13,9,0,4,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,0,0,0,177.0,368.0,529.0,529.0,368.0,0,2,1,0,0,0,0,0
14,10,15,4,4,4,0,0,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,160.0,421.0,568.0,568.0,421.0,0,2,1,0,1,0,1,0
22,8,9,0,4,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,0,0,181.0,306.0,591.0,591.0,306.0,0,2,1,0,1,0,0,0
22,8,9,0,4,4,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,0,0,181.0,306.0,591.0,591.0,306.0,0,2,1,0,1,0,0,0
17,14,9,0,4,2,0,0,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,179.0,386.0,534.0,534.0,386.0,0,2,1,0,1,0,0,0
17,13,10,0,4,4,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,2,0,0,0,176.0,382.0,538.0,538.0,382.0,0,2,1,0,2,0,0,0
16,8,11,0,4,4,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,6,4,4,4,4,4,4,0,0,0,0,0,0,0,0,104.0,336.0,469.0,469.0,336.0,0,2,1,0,1,0,0,0
12,8,13,3,2,4,0,0,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,2,0,0,0,0,135.0,340.0,488.0,488.0,340.0,0,1,1,0,1,0,0,0
23,17,18,3,4,6,0,2,4,4,4,4,2,2,4,4,4,2,4,4,4,2,2,2,2,2,2,2,4,0,0,0,0,4,4,4,4,2,6,6,6,6,4,4,4,4,2,2,2,2,0,0,0,0,251.0,601.0,802.0,802.0,601.0,1,2,2,1,2,1,1,0
15,5,15,4,4,4,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,150.0,316.0,581.0,581.0,316.0,0,1,1,0,0,0,0,0
16,6,9,0,4,4,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,2,2,0,0,0,0,0,0,0,0,91.0,291.0,422.0,422.0,291.0,0,2,1,0,1,0,0,0
14,11,11,0,4,4,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,130.0,351.0,477.0,477.0,351.0,0,2,1,0,0,0,0,0
13,11,10,0,4,4,0,0,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,4,2,2,2,0,0,0,0,0,111.0,347.0,435.0,435.0,347.0,0,2,1,0,2,0,0,0
